,work_year,experience_level,experience_level_code,employment_type,employment_type_code,job_title,job category code,salary,salary_currency,salary_in_usd,salary_in_usd_code,employee_residence,remote_ratio,company_location,company_size,company_size_code
1232,2023,EN,1,FT,2,Data Analyst,1,48000,USD,48000,1,US,0,US,M,2
1518,2023,EN,1,FT,2,Data Analyst,1,48000,USD,48000,1,US,0,US,M,2
723,2023,SE,3,FT,2,Data Analyst,1,51962,USD,51962,2,US,100,US,M,2
1110,2023,MI,2,FT,2,Data Scientist,5,51962,USD,51962,2,US,100,US,M,2
1279,2023,MI,2,FT,2,Data Analyst,1,52500,USD,52500,2,US,100,US,M,2
426,2023,SE,3,FT,2,Data Analyst,1,52500,USD,52500,2,US,0,US,M,2
612,2023,MI,2,FT,2,Data Analyst,1,52500,USD,52500,2,US,0,US,M,2
752,2023,SE,3,FT,2,Data Analyst,1,55000,USD,55000,2,US,0,US,M,2
1148,2023,EN,1,FT,2,Data Analyst,1,55000,USD,55000,2,US,0,US,M,2
1198,2023,EN,1,FT,2,Data Analyst,1,55000,USD,55000,2,US,0,US,M,2
1223,2023,EN,1,FT,2,Data Analyst,1,56100,USD,56100,2,US,100,US,M,2
1289,2023,EN,1,FT,2,Data Engineer,2,58000,USD,58000,2,US,100,US,M,2
392,2023,EN,1,FT,2,Data Analyst,1,60000,USD,60000,2,US,100,US,M,2
596,2023,MI,2,FT,2,Data Analyst,1,60000,USD,60000,2,US,0,US,M,2
1442,2023,EN,1,FT,2,Data Analyst,1,60000,USD,60000,2,US,100,US,M,2
458,2023,EN,1,FT,2,Data Analyst,1,60000,USD,60000,2,US,100,US,L,3
602,2023,SE,3,FT,2,Data Analyst,1,60000,USD,60000,2,US,0,US,M,2
611,2023,MI,2,FT,2,Data Engineer,2,60400,USD,60400,2,US,100,US,M,2
1246,2023,MI,2,FT,2,Data Analyst,1,61200,USD,61200,2,US,0,US,M,2
1572,2023,EN,1,FT,2,Data Engineer,2,61800,USD,61800,2,US,100,US,M,2
1773,2023,EN,1,FT,2,Data Engineer,2,61800,USD,61800,2,US,100,US,M,2
425,2023,EN,1,FT,2,Data Engineer,2,62000,USD,62000,2,US,100,US,M,2
38,2023,SE,3,FT,2,Data Engineer,2,63000,USD,63000,2,US,100,US,M,2
1041,2023,SE,3,FT,2,Data Engineer,2,63000,USD,63000,2,US,100,US,M,2
102,2023,SE,3,FT,2,Data Analyst,1,64000,USD,64000,2,US,100,US,M,2
727,2023,EN,1,FT,2,Data Analyst,1,64200,USD,64200,2,US,100,US,M,2
138,2023,MI,2,FT,2,Data Analyst,1,64500,USD,64500,2,US,0,US,M,2
251,2023,SE,3,FT,2,Data Analyst,1,65000,USD,65000,2,US,0,US,M,2
341,2023,MI,2,FT,2,Data Analyst,1,65000,USD,65000,2,US,100,US,M,2
396,2023,EN,1,FT,2,Data Engineer,2,65000,USD,65000,2,US,0,US,M,2
1037,2023,EN,1,FT,2,Data Engineer,2,65000,USD,65000,2,US,0,US,M,2
1084,2023,EN,1,FT,2,Data Engineer,2,65000,USD,65000,2,US,0,US,M,2
1039,2023,EN,1,FT,2,Data Engineer,2,65000,USD,65000,2,US,0,US,M,2
1254,2023,SE,3,FT,2,Data Engineer,2,65000,USD,65000,2,US,0,US,M,2
1134,2023,SE,3,FT,2,Data Engineer,2,65000,USD,65000,2,US,100,US,M,2
391,2023,SE,3,FT,2,Data Engineer,2,65488,USD,65488,2,US,0,US,M,2
142,2023,SE,3,FT,2,Data Engineer,2,65488,USD,65488,2,US,0,US,M,2
257,2023,SE,3,FT,2,Data Engineer,2,66000,USD,66000,2,US,100,US,M,2
422,2023,EN,1,FT,2,Data Analyst,1,70000,USD,70000,2,US,0,US,M,2
662,2023,SE,3,FT,2,Data Analyst,1,70000,USD,70000,2,US,0,US,M,2
722,2023,SE,3,FT,2,Data Analyst,1,70000,USD,70000,2,US,0,US,M,2
136,2023,EN,1,FT,2,Data Analyst,1,70000,USD,70000,2,US,100,US,M,2
154,2023,SE,3,FT,2,Data Analyst,1,70000,USD,70000,2,US,0,US,M,2
1662,2023,MI,2,FT,2,Data Engineer,2,70000,USD,70000,2,US,100,US,M,2
94,2023,MI,2,FT,2,Data Engineer,2,70000,USD,70000,2,US,100,US,M,2
744,2023,MI,2,FT,2,Data Engineer,2,70000,USD,70000,2,US,0,US,M,2
811,2023,SE,3,FT,2,Data Scientist,5,70000,USD,70000,2,US,0,US,M,2
813,2023,SE,3,FT,2,Data Scientist,5,70000,USD,70000,2,US,0,US,M,2
1411,2023,SE,3,FT,2,Data Scientist,5,70000,USD,70000,2,US,0,US,M,2
1349,2023,EN,1,FT,2,Data Scientist,5,71907,USD,71907,2,US,100,US,M,2
335,2023,MI,2,FT,2,Data Analyst,1,72000,USD,72000,2,US,0,US,M,2
1656,2023,EN,1,FT,2,Data Engineer,2,73900,USD,73900,2,US,0,US,M,2
1695,2023,SE,3,FT,2,Data Analyst,1,74178,USD,74178,2,US,0,US,M,2
1040,2023,EN,1,FT,2,Data Scientist,5,74540,USD,74540,2,US,0,US,M,2
694,2023,EN,1,FT,2,Data Analyst,1,75000,USD,75000,2,US,0,US,M,2
1497,2023,EN,1,FT,2,Data Analyst,1,75000,USD,75000,2,US,100,US,M,2
1481,2023,SE,3,FT,2,Data Analyst,1,75000,USD,75000,2,US,100,US,M,2
141,2023,SE,3,FT,2,Data Analyst,1,75000,USD,75000,2,US,100,US,M,2
187,2023,MI,2,FT,2,Data Analyst,1,75000,USD,75000,2,US,0,US,M,2
216,2023,EN,1,FT,2,Data Analyst,1,75000,USD,75000,2,US,100,US,M,2
309,2023,SE,3,FT,2,Data Analyst,1,75000,USD,75000,2,US,100,US,M,2
366,2023,MI,2,FT,2,Data Analyst,1,75000,USD,75000,2,US,100,US,M,2
598,2023,EN,1,FT,2,Data Analyst,1,75000,USD,75000,2,US,100,US,M,2
680,2023,SE,3,FT,2,Data Analyst,1,75000,USD,75000,2,US,100,US,M,2
726,2023,EN,1,FT,2,Data Analyst,1,75000,USD,75000,2,US,100,US,M,2
751,2023,SE,3,FT,2,Data Analyst,1,75000,USD,75000,2,US,100,US,M,2
895,2023,EN,1,FT,2,Data Analyst,1,75000,USD,75000,2,US,100,US,M,2
937,2023,EN,1,FT,2,Data Analyst,1,75000,USD,75000,2,US,100,US,M,2
1182,2023,SE,3,FT,2,Data Engineer,2,75000,USD,75000,2,US,100,US,M,2
1197,2023,SE,3,FT,2,Data Engineer,2,75000,USD,75000,2,US,0,US,M,2
1236,2023,MI,2,FT,2,Data Engineer,2,75000,USD,75000,2,US,0,US,M,2
148,2023,MI,2,FT,2,Data Engineer,2,75000,USD,75000,2,US,100,US,M,2
424,2023,SE,3,FT,2,Data Engineer,2,75000,USD,75000,2,US,0,US,M,2
470,2023,MI,2,FT,2,Data Engineer,2,75000,USD,75000,2,US,0,US,M,2
595,2023,SE,3,FT,2,Data Engineer,2,75000,USD,75000,2,US,100,US,M,2
750,2023,SE,3,FT,2,Data Engineer,2,75000,USD,75000,2,US,100,US,M,2
869,2023,SE,3,FT,2,Data Engineer,2,75000,USD,75000,2,US,0,US,M,2
1274,2023,SE,3,FT,2,Data Engineer,2,75000,USD,75000,2,US,100,US,M,2
1501,2023,SE,3,FT,2,Data Engineer,2,78000,USD,78000,2,US,100,US,M,2
1530,2023,SE,3,FT,2,Data Scientist,5,78000,USD,78000,2,US,0,US,M,2
1807,2023,MI,2,FT,2,Data Analyst,1,79000,USD,79000,2,US,0,US,M,2
911,2023,SE,3,FT,2,Data Analyst,1,80000,USD,80000,2,US,0,US,M,2
1142,2023,SE,3,FT,2,Data Analyst,1,80000,USD,80000,2,US,0,US,M,2
1483,2023,SE,3,FT,2,Data Analyst,1,80000,USD,80000,2,US,100,US,M,2
231,2023,SE,3,FT,2,Data Analyst,1,80000,USD,80000,2,US,100,US,M,2
256,2023,SE,3,FT,2,Data Analyst,1,80000,USD,80000,2,US,100,US,S,1
353,2023,MI,2,FT,2,Data Analyst,1,80000,USD,80000,2,US,0,US,M,2
421,2023,SE,3,FT,2,Data Analyst,1,80000,USD,80000,2,US,0,US,M,2
475,2023,MI,2,FT,2,Data Analyst,1,80000,USD,80000,2,US,0,US,M,2
572,2023,MI,2,FT,2,Data Analyst,1,80000,USD,80000,2,US,0,US,M,2
1109,2023,MI,2,FT,2,Data Analyst,1,80000,USD,80000,2,US,0,US,M,2
1147,2023,SE,3,FT,2,Data Analyst,1,80000,USD,80000,2,US,100,US,M,2
1231,2023,SE,3,FT,2,Data Engineer,2,80000,USD,80000,2,US,0,US,M,2
1517,2023,SE,3,FT,2,Data Engineer,2,81500,USD,81500,2,US,0,US,M,2
1524,2023,SE,3,FT,2,Data Engineer,2,81500,USD,81500,2,US,0,US,M,2
1668,2023,SE,3,FT,2,Data Engineer,2,81500,USD,81500,2,US,0,US,M,2
1735,2023,SE,3,FT,2,Data Engineer,2,81500,USD,81500,2,US,100,US,M,2
1036,2023,SE,3,FT,2,Data Engineer,2,81500,USD,81500,2,US,0,US,M,2
372,2023,SE,3,FT,2,Data Engineer,2,81500,USD,81500,2,US,0,US,M,2
71,2023,SE,3,FT,2,Data Analyst,1,81666,USD,81666,2,US,100,US,M,2
223,2023,SE,3,FT,2,Data Analyst,1,81666,USD,81666,2,US,100,US,M,2
491,2023,SE,3,FT,2,Data Scientist,5,82365,USD,82365,2,US,0,US,M,2
1115,2023,SE,3,FT,2,Data Scientist,5,82365,USD,82365,2,US,0,US,M,2
1324,2023,SE,3,FT,2,Data Scientist,5,82365,USD,82365,2,US,0,US,M,2
1395,2023,MI,2,FT,2,Data Scientist,5,82920,USD,82920,2,US,100,US,M,2
666,2023,SE,3,FT,2,Data Scientist,5,83270,USD,83270,2,US,100,US,M,2
1242,2023,MI,2,FT,2,Data Analyst,1,83500,USD,83500,2,US,100,US,M,2
867,2023,SE,3,FT,2,Data Scientist,5,84000,USD,84000,2,US,100,US,M,2
1051,2023,SE,3,FT,2,Data Scientist,5,84000,USD,84000,2,US,100,US,M,2
1307,2023,EN,1,FT,2,Data Analyst,1,85000,USD,85000,2,US,100,US,M,2
897,2023,MI,2,FT,2,Data Analyst,1,85000,USD,85000,2,US,0,US,M,2
140,2023,EN,1,FT,2,Data Analyst,1,85000,USD,85000,2,US,100,US,M,2
605,2023,MI,2,FT,2,Data Analyst,1,85000,USD,85000,2,US,0,US,M,2
1520,2023,EN,1,FT,2,Data Analyst,1,85000,USD,85000,2,US,100,US,M,2
1682,2023,SE,3,FT,2,Data Analyst,1,85000,USD,85000,2,US,100,US,M,2
186,2023,SE,3,FT,2,Data Analyst,1,85000,USD,85000,2,US,0,US,M,2
562,2023,EN,1,FT,2,Data Analyst,1,85000,USD,85000,2,US,100,US,M,2
597,2023,SE,3,FT,2,Data Analyst,1,85000,USD,85000,2,US,0,US,M,2
704,2023,EN,1,FT,2,Data Engineer,2,85000,USD,85000,2,US,0,US,M,2
833,2023,EN,1,FT,2,Data Engineer,2,85000,USD,85000,2,US,0,US,M,2
936,2023,EN,1,FT,2,Data Engineer,2,85000,USD,85000,2,US,0,US,M,2
1031,2023,EN,1,FT,2,Data Engineer,2,85000,USD,85000,2,US,0,US,M,2
1113,2023,SE,3,FT,2,Data Engineer,2,85000,USD,85000,2,US,100,US,M,2
1235,2023,SE,3,FT,2,Data Analyst,1,85500,USD,85500,2,US,0,US,M,2
1733,2023,SE,3,FT,2,Data Analyst,1,85500,USD,85500,2,US,0,US,M,2
137,2023,SE,3,FT,2,Data Analyst,1,85500,USD,85500,2,US,0,US,M,2
250,2023,SE,3,FT,2,Data Analyst,1,86466,USD,86466,2,US,100,US,M,2
340,2023,SE,3,FT,2,Data Analyst,1,87000,USD,87000,2,US,100,US,M,2
395,2023,SE,3,FT,2,Analytics Engineer,3,87000,USD,87000,2,US,0,US,M,2
1500,2023,MI,2,FT,2,Machine Learning Engineer,4,87000,USD,87000,2,US,0,US,M,2
1348,2023,SE,3,FT,2,Data Engineer,2,87980,USD,87980,2,US,0,US,M,2
881,2023,SE,3,FT,2,Data Engineer,2,87980,USD,87980,2,US,0,US,M,2
949,2023,MI,2,FT,2,Data Analyst,1,90000,USD,90000,2,US,0,US,M,2
1072,2023,SE,3,FT,2,Data Analyst,1,90000,USD,90000,2,US,100,US,M,2
317,2023,SE,3,FT,2,Data Analyst,1,90000,USD,90000,2,US,100,US,M,2
1045,2023,MI,2,FT,2,Data Analyst,1,90000,USD,90000,2,US,0,US,M,2
1453,2023,MI,2,FT,2,Data Engineer,2,90000,USD,90000,2,US,0,US,M,2
682,2023,EN,1,FT,2,Data Engineer,2,90000,USD,90000,2,US,0,US,M,2
1629,2023,MI,2,FT,2,Data Engineer,2,90000,USD,90000,2,US,100,US,M,2
1076,2023,MI,2,FT,2,Data Engineer,2,90000,USD,90000,2,US,100,US,M,2
1244,2023,EN,1,FT,2,Data Engineer,2,90000,USD,90000,2,US,0,US,M,2
365,2023,SE,3,FT,2,Data Engineer,2,90000,USD,90000,2,US,0,US,M,2
400,2023,MI,2,FT,2,Data Engineer,2,90000,USD,90000,2,US,0,US,M,2
945,2023,MI,2,FT,2,Data Engineer,2,90000,USD,90000,2,US,0,US,M,2
1523,2023,SE,3,FT,2,Data Engineer,2,90000,USD,90000,2,US,100,US,M,2
398,2023,MI,2,FT,2,Machine Learning Engineer,4,90000,USD,90000,2,US,0,US,M,2
616,2023,SE,3,FT,2,Machine Learning Software Engineer,4,90000,USD,90000,2,US,0,US,M,2
621,2023,SE,3,FT,2,Data Scientist,5,90000,USD,90000,2,US,100,US,M,2
622,2023,SE,3,FT,2,Data Scientist,5,90000,USD,90000,2,US,100,US,M,2
817,2023,MI,2,FT,2,Data Scientist,5,90000,USD,90000,2,US,0,US,M,2
1047,2023,SE,3,FT,2,Data Modeler,2,90700,USD,90700,2,US,0,US,M,2
1174,2023,SE,3,FT,2,Data Engineer,2,90700,USD,90700,2,US,0,US,M,2
1190,2023,SE,3,FT,2,Data Engineer,2,90700,USD,90700,2,US,0,US,M,2
1479,2023,SE,3,FT,2,Machine Learning Engineer,4,90700,USD,90700,2,US,0,US,M,2
540,2023,SE,3,FT,2,Data Scientist,5,90700,USD,90700,2,US,0,US,M,2
1140,2023,SE,3,FT,2,Data Scientist,5,90700,USD,90700,2,US,0,US,M,2
660,2023,EN,1,FT,2,Data Engineer,2,92700,USD,92700,2,US,100,US,M,2
812,2023,EN,1,FT,2,Data Engineer,2,92700,USD,92700,2,US,100,US,M,2
1301,2023,SE,3,FT,2,Data Analyst,1,93800,USD,93800,2,US,100,US,M,2
1576,2023,MI,2,FT,2,Data Scientist,5,93918,USD,93918,2,US,100,US,M,2
1818,2023,SE,3,FT,2,Data Analyst,1,93919,USD,93919,2,US,100,US,M,2
16,2023,SE,3,FT,2,Data Analyst,1,94000,USD,94000,2,US,100,US,M,2
32,2023,SE,3,FT,2,Data Analyst,1,94000,USD,94000,2,US,0,US,M,2
692,2023,SE,3,FT,2,Data Engineer,2,94000,USD,94000,2,US,0,US,M,2
1210,2023,SE,3,FT,2,Data Engineer,2,94300,USD,94300,2,US,0,US,M,2
10,2023,SE,3,FT,2,Data Analyst,1,95000,USD,95000,2,US,100,US,M,2
1074,2023,EN,1,FT,2,Data Analyst,1,95000,USD,95000,2,US,100,US,M,2
457,2023,SE,3,FT,2,Data Analyst,1,95000,USD,95000,2,US,0,US,M,2
601,2023,SE,3,FT,2,Data Analyst,1,95000,USD,95000,2,US,0,US,M,2
978,2023,SE,3,FT,2,Data Analyst,1,95000,USD,95000,2,US,0,US,M,2
336,2023,SE,3,FT,2,Data Analyst,1,95000,USD,95000,2,US,0,US,M,2
1296,2023,SE,3,FT,2,Data Analyst,1,95000,USD,95000,2,US,100,US,M,2
821,2023,MI,2,FT,2,Data Analyst,1,95000,USD,95000,2,US,100,US,M,2
1424,2023,SE,3,FT,2,Data Engineer,2,95000,USD,95000,2,US,100,US,M,2
1602,2023,MI,2,FT,2,Data Engineer,2,95000,USD,95000,2,US,0,US,M,2
1590,2023,MI,2,FT,2,Data Engineer,2,95000,USD,95000,2,US,0,US,M,2
719,2023,MI,2,FT,2,Data Engineer,2,95000,USD,95000,2,US,100,US,M,2
106,2023,MI,2,FT,2,Data Engineer,2,95000,USD,95000,2,US,0,US,M,2
556,2023,SE,3,FT,2,Data Engineer,2,96100,USD,96100,2,US,100,US,M,2
661,2023,MI,2,FT,2,Data Scientist,5,97750,USD,97750,2,US,100,US,M,2
880,2023,SE,3,FT,2,Data Analyst,1,100000,USD,100000,2,US,100,US,M,2
948,2023,SE,3,FT,2,Data Analyst,1,100000,USD,100000,2,US,100,US,M,2
1071,2023,SE,3,FT,2,Data Analyst,1,100000,USD,100000,2,US,100,US,M,2
1112,2023,MI,2,FT,2,Data Analyst,1,100000,USD,100000,2,US,0,US,M,2
1156,2023,EN,1,FT,2,Data Analyst,1,100000,USD,100000,2,US,0,US,M,2
1291,2023,EN,1,FT,2,Data Analyst,1,100000,USD,100000,2,US,50,US,M,2
147,2023,MI,2,FT,2,Data Analyst,1,100000,USD,100000,2,US,0,US,M,2
710,2023,MI,2,FT,2,Data Analyst,1,100000,USD,100000,2,US,0,US,M,2
1507,2023,MI,2,FT,2,Data Analyst,1,100000,USD,100000,2,US,0,US,M,2
1570,2023,MI,2,FT,2,Data Analyst,1,100000,USD,100000,2,US,100,US,M,2
1619,2023,MI,2,FT,2,Data Analyst,1,100000,USD,100000,2,US,0,US,M,2
1666,2023,MI,2,FT,2,Data Analyst,1,100000,USD,100000,2,US,0,US,M,2
889,2023,MI,2,FT,2,Data Engineer,2,100000,USD,100000,2,US,100,US,M,2
12,2023,MI,2,FT,2,Data Engineer,2,100000,USD,100000,2,US,100,US,M,2
230,2023,SE,3,FT,2,Data Engineer,2,100000,USD,100000,2,US,0,US,M,2
352,2023,MI,2,FT,2,Data Engineer,2,100000,USD,100000,2,US,0,US,M,2
474,2023,MI,2,FT,2,Data Engineer,2,100000,USD,100000,2,US,0,US,M,2
571,2023,SE,3,FT,2,Machine Learning Engineer,4,100000,USD,100000,2,US,0,US,M,2
703,2023,SE,3,FT,2,Data Scientist,5,100000,USD,100000,2,US,100,US,M,2
865,2023,EX,4,FT,2,Data Scientist,5,100000,USD,100000,2,US,0,US,M,2
1281,2023,MI,2,FT,2,Data Scientist,5,100000,USD,100000,2,US,0,US,M,2
1391,2023,MI,2,FT,2,Data Scientist,5,100000,USD,100000,2,US,0,US,M,2
1407,2023,SE,3,FT,2,Data Analyst,1,100500,USD,100500,3,US,0,US,M,2
1534,2023,SE,3,FT,2,Data Analyst,1,100500,USD,100500,3,US,0,US,M,2
1578,2023,SE,3,FT,2,Data Engineer,2,100706,USD,100706,3,US,0,US,M,2
1689,2023,MI,2,FT,2,Data Engineer,2,102000,USD,102000,3,US,0,US,M,2
1813,2023,MI,2,FT,2,Data Engineer,2,102000,USD,102000,3,US,0,US,M,2
135,2023,SE,3,FT,2,Data Analyst,1,102500,USD,102500,3,US,100,US,M,2
153,2023,SE,3,FT,2,Data Scientist,5,102500,USD,102500,3,US,100,US,M,2
236,2023,MI,2,FT,2,Data Analyst,1,103200,USD,103200,3,US,0,US,M,2
1021,2023,SE,3,FT,2,Data Engineer,2,104000,USD,104000,3,US,100,US,M,2
1737,2023,SE,3,FT,2,Data Scientist,5,104000,USD,104000,3,US,100,US,M,2
1092,2023,SE,3,FT,2,Data Scientist,5,104000,USD,104000,3,US,100,US,M,2
432,2023,SE,3,FT,2,Data Scientist,5,104000,USD,104000,3,US,100,US,M,2
1729,2023,SE,3,FT,2,Data Analyst,1,104300,USD,104300,3,US,0,US,L,3
1756,2023,SE,3,FT,2,Data Scientist,5,104650,USD,104650,3,US,100,US,M,2
1104,2023,SE,3,FT,2,Data Analyst,1,105000,USD,105000,3,US,100,US,M,2
303,2023,MI,2,FT,2,Data Analyst,1,105000,USD,105000,3,US,0,US,M,2
554,2023,MI,2,FT,2,Data Engineer,2,105000,USD,105000,3,US,0,US,M,2
690,2023,SE,3,FT,2,Data Scientist,5,105000,USD,105000,3,US,0,US,M,2
700,2023,SE,3,FT,2,Data Scientist,5,105000,USD,105000,3,US,0,US,M,2
1670,2023,SE,3,FT,2,Data Scientist,5,105000,USD,105000,3,US,0,US,M,2
1351,2023,MI,2,FT,2,Data Scientist,5,105000,USD,105000,3,US,0,US,M,2
1403,2023,SE,3,FT,2,Data Analyst,1,105200,USD,105200,3,US,0,US,M,2
748,2023,SE,3,FT,2,Data Architect,6,105200,USD,105200,3,US,0,US,M,2
885,2023,SE,3,FT,2,Data Engineer,2,105200,USD,105200,3,US,0,US,M,2
444,2023,SE,3,FT,2,Data Scientist,5,105200,USD,105200,3,US,0,US,M,2
652,2023,MI,2,FT,2,Data Analyst,1,105380,USD,105380,3,US,0,US,M,2
1719,2023,SE,3,FT,2,Data Analyst,1,105500,USD,105500,3,US,0,US,M,2
552,2023,SE,3,FT,2,Data Analyst,1,105500,USD,105500,3,US,0,US,M,2
875,2023,SE,3,FT,2,Data Analyst,1,105500,USD,105500,3,US,0,US,M,2
1584,2023,MI,2,FT,2,Data Analyst,1,105500,USD,105500,3,US,0,US,M,2
636,2023,SE,3,FT,2,Data Engineer,2,105700,USD,105700,3,US,0,US,L,3
1334,2023,SE,3,FT,2,Data Engineer,2,105700,USD,105700,3,US,0,US,L,3
1441,2023,SE,3,FT,2,Data Analyst,1,106000,USD,106000,3,US,0,US,M,2
1083,2023,SE,3,FT,2,Data Analyst,1,106000,USD,106000,3,US,0,US,M,2
1002,2023,SE,3,FT,2,Analytics Engineer,3,106000,USD,106000,3,US,0,US,M,2
1516,2023,SE,3,FT,2,Data Analyst,1,106020,USD,106020,3,US,0,US,M,2
1613,2023,SE,3,FT,2,Data Analyst,1,106020,USD,106020,3,US,0,US,M,2
100,2023,SE,3,FT,2,Data Analyst,1,106020,USD,106020,3,US,0,US,M,2
810,2023,SE,3,FT,2,Data Analyst,1,106020,USD,106020,3,US,0,US,M,2
386,2023,SE,3,FT,2,Data Analyst,1,106020,USD,106020,3,US,0,US,M,2
155,2023,MI,2,FT,2,Data Scientist,5,106250,USD,106250,3,US,0,US,M,2
399,2023,MI,2,FT,2,Data Architect,6,106500,USD,106500,3,US,0,US,M,2
832,2023,MI,2,FT,2,Data Architect,6,106500,USD,106500,3,US,0,US,M,2
1276,2023,SE,3,FT,2,Data Engineer,2,106500,USD,106500,3,US,0,US,M,2
1661,2023,EX,4,FT,2,Data Engineer,2,106500,USD,106500,3,US,0,US,M,2
93,2023,SE,3,FT,2,Data Engineer,2,106500,USD,106500,3,US,0,US,M,2
743,2023,SE,3,FT,2,Data Analyst,1,106800,USD,106800,3,US,0,US,M,2
1410,2023,SE,3,FT,2,Data Analyst,1,106800,USD,106800,3,US,0,US,M,2
1767,2023,SE,3,FT,2,Data Analyst,1,106800,USD,106800,3,US,0,US,M,2
162,2023,SE,3,FT,2,Data Analyst,1,106800,USD,106800,3,US,0,US,M,2
1016,2023,SE,3,FT,2,Data Analyst,1,106800,USD,106800,3,US,0,US,M,2
696,2023,SE,3,FT,2,Data Engineer,2,106800,USD,106800,3,US,100,US,M,2
311,2023,SE,3,FT,2,Data Engineer,2,106800,USD,106800,3,US,100,US,M,2
1467,2023,SE,3,FT,2,Data Engineer,2,106800,USD,106800,3,US,0,US,M,2
1652,2023,SE,3,FT,2,Data Engineer,2,106800,USD,106800,3,US,0,US,M,2
37,2023,SE,3,FT,2,Machine Learning Engineer,4,106900,USD,106900,3,US,0,US,M,2
253,2023,SE,3,FT,2,Data Engineer,2,107000,USD,107000,3,US,100,US,M,2
404,2023,SE,3,FT,2,Data Engineer,2,107250,USD,107250,3,US,100,US,M,2
570,2023,SE,3,FT,2,Data Engineer,2,107500,USD,107500,3,US,100,US,M,2
1608,2023,SE,3,FT,2,Data Engineer,2,107900,USD,107900,3,US,100,US,M,2
630,2023,SE,3,FT,2,Data Analyst,1,108000,USD,108000,3,US,0,US,M,2
1555,2023,SE,3,FT,2,Data Analyst,1,108000,USD,108000,3,US,100,US,M,2
321,2023,MI,2,FT,2,Data Analyst,1,109000,USD,109000,3,US,0,US,M,2
382,2023,SE,3,FT,2,Data Engineer,2,109000,USD,109000,3,US,0,US,M,2
1090,2023,SE,3,FT,2,Data Engineer,2,109400,USD,109400,3,US,0,US,M,2
1640,2023,SE,3,FT,2,Data Engineer,2,109400,USD,109400,3,US,0,US,M,2
